Title of signal;Translated Title;Factor;Link;Source Date;Insights;Context;Implication;Organisations;Countries;Tags
PULVERIZADORES FEDE LEADS THE LIFE-F3 PROJECT, FRAMED IN THE PRESTIGIOUS CLIMATE ACTION PROGRAM OF THE EUROPEAN UNION;;Intermediaries and customers;https://www.fedepulverizadores.com/en/pulverizadores-fede-life-f3-ue/;2020-03-20;The European Union`s LIFE program co-finances projects that demonstrate the effectiveness and efficiency of technologies, tools and methodologies that can be adapted to the environmental policies of the European Union to achieve its objectives against climate change. Pulverizadores Fede from Spain received funding for its LIFE-F3 project and will carry out case use tests of its H3O technology in real contexts, with the collaboration of Elaia (Portugal) and Viñas del Vero (Spain), in olive trees and vineyard plantations respectively, to quantitatively demonstrate their positive environmental impact. It will also have the support of the official distributors Tractomoz, a John Deere dealer, https://www.tractomoz.com/, and Vibasa, today a Kubota dealer, http://www.vibasa.net/, to carry out the tests and trials. An important aspect of the LIFE program is the transfer of information in order to maximize the impact of new technology implementation. In this sense, Pulverizadores Fede will create a certification program during the development of the LIFE-F3 project.;;;European Union (EU),Pulverizadores Fede SL,Elaia Partners,Viñas del Vero,Tractomoz,Vidal y Basols;Spain,Portugal;Alliances,Grants,Precision Technology,Sprayers
Cubic Telecom announces partnership with CNHi;;Competitors and Suppliers;https://www.cubictelecom.com/Media/PressRelease/59;2020-03-23;The PACE platform of Cubic Telecom (https://www.cubictelecom.com/), a connected vehicle software supplier based in Dublin in Ireland, concluded a partnership with CNH Industrial to provide its solution to agricultural machines on the field and thus bring precision farming to farmers, to maximise their productivity. The partnership is expected to allow CNH Industrial’s agricultural brands, Case IH, New Holland Agriculture and Steyr, to initially deploy the PACE platform across their tractor, harvester and crop protection models, with possible further future expansion. The global partnership is the first of its kind for CNH Industrial and will be operational in Europe, Brazil, North America, and the Asia-Pacific markets for selected models released from 2020. Cubic Telecom’s PACE platform enables worldwide connections to LTE and 5G so that the customers of CNH’s brands can keep remotely collecting and managing data on their terrain and machines. With thousands of the company’s vehicles set to be connected from 2020, this collaboration is said to bring Cubic off-road and mark its first move into the agricultural IoT ecosystem. Later in the year, Cubic Telecom will be extending its connectivity solution offering within the CNH Industrial brand portfolio, to cover both IVECO commercial vehicles as well as Case Construction and New Holland Construction brands. (SONEAN: The partnership is also aiming to collect worldwide real-time data from machines of all CNH brands to help farmers increase productivity and streamline efficiency. Cubic Telecom provides local connectivity in over 180 countries and states to have “the most robust network” along with device and retail partnerships worldwide. In addition to connectivity solutions the company provides over-the-air OTA device management software to its customers and partners, which include automotive companies Audi, Volkswagen and Skoda as well as Japanese electronics manufacturer Panasonic and Australian supermarket chain Woolworths. The company is still privately held with over EUR 110 mn in funding by various investors including Audi Electronics Venture GmbH, Qualcomm and the European Investment Bank. See the context for additional information on the resignation of CNH’s previous CEO Hubertus Mühlhäuser and an update on CNH’s Zedelgem plant’s closure);;After the sudden resignation of its previous CEO Hubertus Mühlhäuser (https://bit.ly/2y7JuZL), CNH Industrial was asked by the Italian Stock Exchange for clarification. So CNH announced that Mühlhäuser has resigned (i.e. was not forced to leave) to pursue other interests and also offered CNH to assist it while the company searched for a successor (https://bit.ly/2JboRho). On the other hand, CNH’s Zedelgem plant, which was announced to close due to Coronavirus crisis, will reportedly start the production after two weeks of closure (https://bit.ly/2xZF1YM).;CNH INDUSTRIAL N.V.,Cubic Telecom,Case IH (CNHI),New Holland (CNHI),STEYR Traktoren (CNHI),Case Construction (CNHI),New Holland Construction (CNHI),Iveco (CNHI),Audi AG,VOLKSWAGEN AG,Skoda Auto AS,Panasonic,Woolworths Holdings,Audi Electronics Venture GmbH,Qualcomm Incorporated,European Investment Bank (EIB);Brazil,Ireland;Alliances,Telematics,Precision Technology,Tractors,Harvesters,Sprayers,Human Resources,Corporate Finance,Reporting
Sony Collaborates with Four Leading AgTech Firms to Create Expanded Farming Solution Ecosystem;;Competitors and Suppliers;https://pro.sony/ue_US/press/expanded-farming-solution-ecosystem;2020-03-23;Sony Electronics announced an expanded ecosystem for its newly enhanced Smart Agriculture Solution with integration of farming solutions from 4 AgTech providers: Drones Made Easy, BirdsEyeView Aerobotics, Rantizo and Progeny Drone Inc. Sony’s solution supports day-to-day crop management by collecting and analyzing data on growth and health status. Its Version 2.0 combines high-resolution drone imagery with AI for a more accurate and efficient approach to plant counting and analysis. The enhanced solution consists of a drone-mounted multi-spectral sensing unit and Fast Field Analyzer image analytics software for in-the-field crop management, monitoring and insights. The Version 2.0 is designed to allow growers to precisely and easily analyze large areas.;;;Sony Corporation,Drones Made Easy,BirdsEyeView Aerobotics,Rantizo,Progeny Drone Inc;United States;Alliances,Precision Technology
AgJunction Announces New Customer Wins in the APAC Region;;Intermediaries and customers;https://www.agjunction.com/press-releases/agjunction-agrees-to-60-day-stay-in-patent-litigation-lawsuit-against-kubota-0;2020-03-23;AgJunction has signed and agreement with GeoSurf Corporation (GeoSurf), Anhui Zhongke Intelligent Sense and the Big Data Industrial Technology Research Institute (ISTI) to provide precision agriculture solutions in the APAC region. GeoSurf has recently launched TaznaX, a precision agricultural solution for rice and onion transplanters based on AgJunction’s Wheelman and Whirl technology. AgJunction also agreed to provide ISTI with a complete autosteering solution for major original equipment manufacturers in China, https://bit.ly/33JXMes. AgJunction also reported its financial results for the year that ended on 31 December 2019. The company’s revenues declined to USD 39.2 mn from USD 64.5 mn in 2018, driven by the sale of businesses in 2018 and the completion of shipments made under a bulk purchase order (BPO). Its gross profit in 2019 was USD 14.7 mn compared to USD 23.8 mn in 2018. The net loss in 2019 was USD 6.2 mn versus a net income of USD 1.5 mn a year ago. The decline was primarily driven by the aforementioned decrease in revenues related to the BPO, https://bit.ly/33H8yCt.;;;Agjunction,GeoSurf Corporation,Anhui Zhongke Intelligent Sense,Big Data Industrial Technology Research Institute;China,United States;Alliances,Precision Technology,Reporting,Realized Machinery Purchases
System trains driverless cars in simulation before they hit the road;;Universities and Multipliers;http://news.mit.edu/2020/system-trains-driverless-cars-simulations-0323;2020-03-23;A simulation system developed at MIT to train driverless cars creates a photorealistic world with infinite steering possibilities, helping the cars learn to navigate a host of worst-case scenarios before cruising down real streets. The system, called Virtual Image Synthesis and Transformation for Autonomy (VISTA), uses only a small dataset, captured by humans driving on a road, to synthesize a practically infinite number of new viewpoints from trajectories that the vehicle could take in the real world. The system is rewarded for the distance it travels without crashing, so it learns by itself how to reach a destination safely. In doing so, the vehicle learns to safely navigate any situation it encounters, including regaining control after swerving between lanes or recovering from near-crashes. The work was done in collaboration with the Toyota Research Institute.;;;Massachusetts Institute of Technology (MIT),Toyota Research Institute;United States;Innovation,Precision Technology,Alliances
Changing the Future of Agriculture! Researchers, Farmers and Engineers Taking on the Challenge of Robot Tractor Development;;Intermediaries and customers;https://www.yanmar.com/global/about/ymedia/people/robot_tractor.html;2020-03-24;In an interview three players of agricultural robotization expressed their views on various issues regarding the topic and agriculture in Japan – Professor Noboru Noguchi of Hokkaido University, Hisashi Miura of Miura Farm Co Ltd and Shigemi Hidaka of Yanmar – who all played an important role in the development of the robotic tractors at Yanmar. The interworking of multiple tractors on a field and their simultaneous and coordinated operation goes back to the ideas developed by the field farmer Miura during his graduate study at Hokkaido University. Since the university has a close cooperation with Yanmar, the idea was picked up by the company. The common project drew attention from the public, earning Yanmar the 7th Robotics Award of the Japanese Ministry of Agriculture, Forestry and Fisheries in 2016. After the establishment of safety maintenance guidelines based on the ideas of Miura, the project resulted in the presentation of Yanmar’s autonomous tractor in October 2018. According to the partners, this cooperation between a research institution, farmer and manufacturer greatly contributed to the success of bringing the robot tractor product to the market in May 2019. Besides representing a possible solution to the problems of Japanese agriculture such as labour shortages, aging farmers and the lack of expert skills these players think that the futures of robotic agricultural equipment will be the miniaturization and development of smart machinery. According to them the current robotic agricultural equipment is crafted with large-scale farms in mind, but serious labour shortages actually occur in small-scale farms, which need smaller robotic agricultural equipment to reduce their cost. (SONEAN: The next step of these robot tractors will be increasing the types of work that they can perform from sowing, to spraying and harvesting, indicating that the research with Hokkaido University and Yanmar is going into that direction. See also the context for more insights);;The three players also think that robot tractors that can work simultaneously with each other will be the basis of the future of agriculture since such tractors can accumulate data about the fields while performing the real task in an efficient manner. Another interesting insight for the solution of the problems in agriculture in Japan is the creation of an agricultural industry with a market-in approach considering the whole industrial value chain from production to processing and distribution, all the way to the consumer, not only in Japan but in the whole of Asia.;Hokkaido University,Yanmar,Miura Farm Co Ltd,Ministry of Agriculture  Forestry and Fisheries@Government of Japan;Japan;Precision Technology,Strategy,User Insights,Alliances,Reporting
Drones from Shropshire could lead the way in fight against coronavirus;;Universities and Multipliers;https://www.shropshirestar.com/news/local-hubs/telford/newport/2020/03/25/drones-from-shropshire-could-lead-the-way-in-fight-against-coronavirus/;2020-03-25;Harper Adams University has plans to offer drone sprayer training to qualified emergency services drone pilots, to enable them to use spray drones to disinfect against the Coronavirus Covid-19. Agricultural spray drones have been in use for a number of years in countries such as China, India, and USA. While European regulations prohibit their use, Harper Adams University is conducting trials, in association with government authorities and other partners, to enable their use for crop protection and weed control within the UK. Now the University is waiting to see if government approval is granted for the scheme to go ahead.;;;Harper Adams University,Government of the United Kingdom;China,India,United Kingdom,United States;Strategy,Precision Technology,Sprayers
NAIO OZ UITGERUST MET RTK-GPS BEGELEIDING;NAIO OZ EQUIPPED WITH RTK GPS GUIDANCE;Intermediaries and customers;https://www.abemec.nl/naio-oz-uitgerust-met-rtk-gps-begeleiding/;2020-03-26;Dutch AGCO partner Abemec announced that starting from April 2020 the Oz robot of the French NAIO Technologies can be equipped with RTK GPS for precise navigation in the field. Previously the Oz robot was finding the way by itself using sensors and camera guidance. With RTK GPS the robot can follow autonomous straight lines for sowing and planting, improving the performance and reliability.;;;Abemec BV,NAIO Technologies;France,Netherlands;Precision Technology,Product Upgrades
SolSteer: John Deere AutoTrac-Lenksystem für Fremdfabrikate;SolSteer: John Deere AutoTrac steering system for third-party products;Intermediaries and customers;https://www.agrarheute.com/technik/traktoren/solsteer-john-deere-autotrac-lenksystem-fuer-fremdfabrikate-566642;2020-03-26;British company SolSteer Ltd is represented on the German market by Feil Agrar und Service since the beginning of 2020. With SolSteer’s Agri-Steer module tractors and harvesters from other brands can use John Deere’s AutoTrac steering system. The module directly accesses the tractor's own steering system and connects it with AutoTrac. Therefore, the prerequisite for retrofitting is that the tractor or harvester must already be prepared for a steering system, being VarioGuide or Auto-Steer Ready.;;;Solsteer;Germany,United Kingdom;Market Entry,Precision Technology,Alliances
Searching for a sustainable farming future;;Competitors and Suppliers;https://www.yanmar.com/us/about/ymedia/people/sustainable_farming_future.html;2020-03-27;Yanmar R&D Europe, Yanmar’s European research facility in Italy has been participating in the 2-year, EUR 4 mn SMASH project in cooperation with various technology partners to develop a mobile agricultural “eco-system”, which now turned out to be a modular robotic platform that examines crops and soils and analyses the information to provide actionable information for crop management. SMASH consists of a mobile base, a robotic arm featuring manipulators and vision systems, a drone and an ancillary ground station. SMASH is actually not a single machine, but a series of different devices. SMASH can be programmed for a specific task. It moves autonomously, monitoring crops, detecting and treating diseases. In addition to all the functions performed by the robotic arm, there are also some attachments that can be mounted on the back of the vehicle for mechanical weeding or working the soil. This work can be done simultaneously with the monitoring and detection tasks. Yanmar developed the control systems for the multipurpose robotic arm for mobile manipulation (including precision spraying), sensor integration for positioning technologies, and autonomous navigation as well as the software for the control of the system’s mobile base. The project is co-financed by the Tuscany local government while the partners involved in the project include EDI, Base s.r.l., Seintech, Florence University, IIT (Italian Institute of Technology), Copernico and DORIAN. (SONEAN: The SMASH project is realized as part of Yanmar’s strategy called “A Sustainable Future”, which uses ICT and IoT to develop new technologies. As part of the same strategy Yanmar developed a yield sensor for combine harvesters. See the context for the details of the new sensor);;Yanmar has developed a system for combine harvesters that works by measuring the quantity of harvested grain as it moves through the combine harvester in real time. The system for the visualization of yield has now been installed on models of head-feeding combine harvesters. Yanmar has also developed a yield sensor (YM-KIT, 1150) that can be fitted to full-feeding combine harvesters. The system is currently able to perform real-time measurement/visualization of the rate of harvest and cumulative yield for rice and wheat. By linking the system to Yanmar’s SmartAssist and by using it to manage and utilize the data, the Japanese company intends to support operational improvements and help make crop planning more efficient. Yanmar has now published a detailed technical report that explains how the system and the sensor work together to achieve those goals (https://bit.ly/2WTpG6p).;Yanmar,Electric Drive Italia S.r.L.,Base S.r.L.,Seintech,Università degli Studi di Firenze,Istituto Italiano di Tecnologia (IIT),Copernico,DORIAN,Government of Tuscany Region;Italy;Alliances,Precision Technology,Other self propelled machinery,Harvesters,Product Upgrades,Grants
Pronti agli incentivi con CLAAS.;Ready for incentives with CLAAS.;Intermediaries and customers;https://www.claas.it/vendite-finanziamento/promozioni/allestimento-4-0;2020-03-27;Similar to the promotions of other manufacturers in Italy, Claas started a campaign targeting the new tax credit and Sabatini facilities offered now in the country. Italian customers buying a new Claas machine or equipment equipped with agriculture 4.0 technologies can take advantage of the benefits introduced by the new 2020 budget law and save up to 50 % on the purchase price. According to Claas, it has developed specific equipment that can meet the functional and operational requirements for the new law, which provides, among others, for the contribution of up to 40% to the purchase cost via a tax credit to offset tax expenses and a contribution of up to 10% of the interest on the loan through the new Sabatini law. The 10% contribution through the Sabatini law is also valid on 0% interest rate loans. This promotion is valid for combine harvesters, self-propelled forage harvester, tractors, wheel loaders and telehandlers, and balers. (SONEAN: Claas has also 4 new promotions in Poland related to its combine harvesters. Polish customers who buy e.g. a new Tucano 320 harvester can now acquire the Komfort package for only PLN 1000 (EUR 219) + VAT. The package includes electrically controlled sieves, the Cebis terminal with Profi Cam support, tires of size 800/65 R32, an automatic air conditioning with heating, Profi Cam camera on the grain unloading pipe and high-end work lights, https://bit.ly/2xuWIiJ. See the context for more details on the remaining campaigns in Poland);;In a similar promotion, Polish customers buying a new Tucano combine receive a Vario header at the price of a Cerio header. For the model Tucano 440 the header offered is Vario 620 while for Tucano 420 the header is Vario 560 (https://bit.ly/2JmTlwY). For Lexion combines Claas has a similar promotion in which customers can acquire a GPS Pilot S10 automatic guidance system for PLN 1000 + VAT. In addition, customers can also acquire powered rear axle for PLN 9,900 (EUR ) + VAT when they purchase a new Lexion combine (https://bit.ly/33U1pyC). All these combine harvester offers are valid until 15 May 2020. In a final promotion, Claas offers a 20% discount when Polish customers purchase a new or extend an existing Telematics Advanced or Professional license for their combines. In addition, all Basic, Advanced, Professional and Automatic documentation licenses come with a 3-year validity for the price of a 2-year license. In addition, for Tucano harvesters from 500 and 400-300 the acquisition of an Advanced license along with automatic documentation or a Professional license and automatic documentation come with a validity of 4 years. This offer is valid until 24 April 2020 (https://bit.ly/2xEBNJZ).;Claas (CLAAS KGaA mbH);Italy,Poland;Campaigns,Harvesters,Tractors,Other self propelled machinery,Implements,Tax Incentives,Subsidies,Discounts,Precision Technology,Parts,Telematics
Avanceret robot-intelligens skal gøre landbruget mere bæredygtigt;Advanced robot intelligence should make agriculture more sustainable;Competitors and Suppliers;https://www.maskinbladet.dk/teknik/artikel/67409-avanceret-robot-intelligens-skal-gore-landbruget-mere-baeredygtigt;2020-03-28;In cooperation with other universities and leading industrial companies, Danish robotics developer Agrointelli and the University of Aarhus have started a new project aimed at making modern robots to be used in the health, food and agriculture sectors. Called Open Deep Learning Toolkit for Robotics (OpenDR) the new platform will have a modular, open and non-proprietary architecture and be used as an all-rounder AI tool that provides robots with advanced cognition and perception capabilities. The project aims to significantly improve the autonomy of robots by using effective deep learning techniques with limited computing power. In this way, the new platform can also be used for robots that already exist today. With the new platform Agrointelli will increase the autonomy of its Robotti and increase the precision with which it detects and classifies objects and crops, while reducing the computing power needed to perform the tasks. The EU's Research and Innovation Program, Horizon 2020, has allocated EUR 6.6 mn for the project, which runs from January 2020 to December 2022. The following organisations also participate in the project: Aristotle University of Thessaloniki (Greece), Tampere University (Finland), Delft University of Technology (Netherlands) ), University of Freiburg (Germany), Cyberbotics (Switzerland) and PAL Robotics (Spain).;;;Agrointelli,University of Aarhus,Aristotle University of Thessaloniki,Tampere University of Technology,Technische Universiteit Delft,Universität Freiburg,Cyberbotics,PAL Robotics;Switzerland,Germany,Denmark,Spain,Finland,Greece,Netherlands;Alliances,Precision Technology
?????? ? ?????? ??????? ??? ???????????? ?????????????? ? ????????????? ??????????? ??????? ? ?????????? ???????;The first Russian ground for testing agricultural machinery with artificial intelligence was opened in the Rostov region;Competitors and Suppliers;https://www.zol.ru/news/press-release/525416;2020-03-29;At the end of 2019, Sberbank and Cognitive Technologies (CT) had announced the creation of Cognitive Pilot, a new company to develop unmanned technologies and to be managed by the President of CT, Olga Uskova, while Sberbank holds 30% of the new company. The specialists of Cognitive Pilot will start to gather data for their image database, which will be used to train the neural networks used in unmanned agricultural machinery. In order for those neural networks to operate independently, it is said to be necessary to take 80,000 ten-second videos. The shooting of those videos should end at the beginning of 2021. For this purpose, the company opened a new test site in Peschanokopsk, which will allow the startup to recreate a wide class of real-life situations including those extremely rare in real agricultural work.;;;Cognitive Technologies,Savings Bank of Russian Federation (Sberbank),Cognitive Pilot;Russia;Alliances,Precision Technology,Capacity Increase
With coronavirus outbreak demand for remote monitoring systems is growing rapidly;;Competitors and Suppliers;http://metos.at/de/demand-for-remote-monitoring-systems-is-growing-rapidly/;2020-03-30;According to Gottfried Pessl, President and Founder of Austrian Pessl Instruments, remote monitoring systems for fields became an urgent solution for farmers as more countries shut down and implement travel restrictions due to the current Coronavirus crisis. Every trip to the field costs time and money and due to the outbreak, it may also be impossible to check all crops with a visit. Remote monitoring provides the opportunity to identify problems timely without visiting the field. One U.S. Pessl Instruments consultant based in California, who used to travel around 80,000 km a year although his radius was only 150 km, reduced the road time by 70% while increasing business by 200%. Pessl Instruments has over 100.000 daily FieldClimate users, and according to the company the demand for Pessl Instruments' equipment has been increasing daily because of the Coronavirus and coming from different parts of world, from USA to Turkey. Pessl works with tens of thousands of consultants all over the globe who support farmers with sometimes completely random day to day visits. The company is now offering special starter kits for consultants who are not yet familiar or experienced with its equipment and technology but want to dive into the remote 24/7 monitoring world. Such consultants are asked to contact Gottfried Pessl personally via e-mail or his LinkedIn account. (SONEAN: recently, Pessl created a new online certification program that can be used both by farmers and consultants. Also recently, two videos appeared showing a California-based consultant and a Turkish customer praising Pessl’s equipment, giving the impression that these are concerted actions as part of a marketing strategy to push Pessl Instruments during the Coronavirus period);;Recently, Pessl Instruments created a new website for Canada while also launching the METOS Certification Program in a new eLearning portal (https://bit.ly/3azauPQ). The program offers a remote training and certification on demand. The training comes with a package that contains both the METOS equipment and required software. The online portal provides for all training material needed for interested farmers and consultants (https://bit.ly/39vfC6y). Recently, an interview with a California-based Pessl Instruments consultant appeared in the U.S. media. Although it is not clear whether it is the same consultant mentioned by Gottfried Pessl, the consultant states that with Pessl’s equipment farmers save money and make more profit (https://bit.ly/2URCmbo). Interestingly, another video also appeared recently in Turkey that shows a large Turkish customer who saved up to 20% of the costs using Pessl’s equipment (https://bit.ly/2UvgfIJ).;Pessl Instruments;Austria,Turkey,United States;Precision Technology,Reporting,Human Resources,Strategy,Digitalization
RAVEN TO ACQUIRE FULL OWNERSHIP OF DOT®;;Competitors and Suppliers;https://ravenind.com/news/raven-to-acquire-full-ownership-of-dot;2020-03-30;Raven Industries will acquire the remaining equity of DOT Technology Corp to bring autonomous agricultural solutions to the market and expand its share in precision technology. DOT is an autonomous power unit that can pair with a wide range of implements, offering a variety of labor saving solutions. Fusing DOT and the recently acquired Smart Ag autonomous perception and path planning technology with Raven’s core technology platforms in guidance, steering, and machine control will enable the company to deliver “revolutionary” autonomous solutions. Raven is currently moving forward with the commercialization of Raven Autonomy and will be expanding its portfolio with new offerings, https://bit.ly/2WX9YXX. In March 2020, Raven furthermore introduced its Fleet Analytics Manager tool, which provides fleet and system data in one view. Managers can look at each machine and see usage machine data such as acres per hour, per day and location. The tool can also provide historical data of system events and recommendations. By analyzing this data, a fleet manager can see if a machine is performing as it should and head off problems before they arise. It also helps to make decisions such as the timing about when to replace a machine, https://bit.ly/2XbGw0P. Similar to some other companies trying to help authorities in their fight against the spread of the new Coronavirus, Raven started to produce PPE gowns for medical staff after the company was approached by a local healthcare organization, https://bit.ly/2UVdzDh.;;;Raven Industries,Dot Technology Corp;United States;Precision Technology,Corporate M&A,Strategy,Product Launches,Telematics,Reporting
DENSO invests in Certhon Group, a greenhouse provider based in the Netherlands;;Competitors and Suppliers;https://www.denso.com/global/en/news/news-releases/2020/20200401-g02/;2020-04-01;Denso Corporation (Denso), a large Japanese automotive technology supplier, has announced its investment in the Dutch Certhon Group (https://www.certhon.com/),which sells large-scale greenhouse solutions using advanced technology to more than 20 countries. Through this capital alliance, and combined with Certhon’s horticultural business knowledge, Denso will develop next-generation greenhouse technologies, such as fully automated indoor farming, and sell greenhouse package solutions. Denso Group’s Long-term Policy 2030 launched in 2017 has identified non-automotive business as one of its four focus areas and has defined agriculture as a key pillar. Until now, Denso has contributed to the improvement of productivity in the field and the stabilization of cultivation environments through climate control technologies. Denso has also started the demonstration of the automatic harvesting robot Faro. In the future, Denso aims to provide new value to the agri-food sector by establishing an integrated food value chain business.;;;Denso Corporation,Certhon Group;Japan,Netherlands;Corporate M&A,Strategy,Precision Technology
Farmas Air-drop;;Intermediaries and customers;http://www.farmas.dk/forside/nyhedsoversigt/nyheder-andre/farmas-air-drop;2020-04-01;Farmas, a large Danish dealer of New Holland, is launching a new delivery concept called Farmas Air-drop, which allows the delivery of spare parts with a drone in a radius of up to 50 km from a Farmas branch. The drone used in the delivery can lift up to 5 kg and Farmas guarantees a delivery time of maximum 30 min. The dealer charges an extra DKK 45 (EUR 6.0) + VAT per delivery with a drone. (SONEAN: Although it is a great idea, and already selectively practiced around the world, the dealer does not mention in its communication whether there is a legal basis for the new concept as in most countries the legal setting does not allow for such a service);;;Farmas;Denmark;Service,Parts,Precision Technology
Interview: Der Laser kommt näher;Interview: The laser is getting closer;Universities and Multipliers;https://flurundfurche.de/laser-unkraut-bekaempfen-wollweber-hannover/;2020-04-02;The online version of February 2020 print edition of the agricultural magazine of John Deere in German language, Flur & Furche (https://bit.ly/3aUqcWe), has published an interview with a biophysicist at the Laser Zentrum Hannover eV (LZH, https://www.lzh.de/de), who is researching how to use laser against weed. The image recognition system developed at LZH can distinguish different plants and activates a laser flash with a diameter of 5 mm for a period of 1/10 of second aimed at the identified weeds, killing them instantly. This system has been seemingly designed for autonomous robots that move on a field during the growth phase of the plants. According to the researcher, the system can also be used as an attachment for tractors and in combination with drones. This new system will be tested during 2020.;;;John Deere (Deere & Co.),Laser Zentrum Hannover e.V.;Germany;Precision Technology
Multi-Million Euro Investment for Novel Dutch Satellite Technology;;Competitors and Suppliers;https://www.vandersat.com/blog/multi-million-euro-investment-for-novel-dutch-satellite-technology;2020-04-03;The Dutch company VanderSat has raised an investment of several million Euros to further develop their patented satellite technology with which the company claims to accurately measure the location and amount of water in the soil. With the new investment, VanderSat will further develop its technology which can be used to increase the amount of sustainably farmed land. Currently VanderSat’s data is used for more than 100 million hectares of agricultural land worldwide, not only by large agricultural companies, but also by insurers to calculate the risks and possible damages to crops. The technology also gives uninsured farmers access to crop data and therefore greater financial security. Large players such as BASF, Climate Corp, AXA, and Swiss Re make business decisions on the basis of VanderSat’s data.;;;VanderSat,BASF AG,The Climate Corporation,AXA S.A.,Swiss Re Group;Netherlands;Corporate Finance,Precision Technology
ADAPTABLE SEEDER OFFERS EFFECTIVE CROP ESTABLISHMENT OPTION;;Competitors and Suppliers;https://www.kuhn.co.uk/uk/press-releases-adaptable-seeder-offers-effective-crop-establishment-option.html;2020-04-08;Kuhn Farm Machinery is introducing Kuhn’s SH 600 seeder, which is equipped with Venta metering unit and designed for uniform seed spread across a 3–9 metre working width. The seeder is specifically designed to operate with Kuhn’s Prolander, Performer, Optimer XL and Cultimer L 1000 minimum tillage and stubble cultivators and is sufficiently adaptable to work with other brands, https://bit.ly/3e7MSnN. Kuhn Farm Machinery is furthermore including its optional WiFi module free of charge on all new Axis fertiliser spreaders purchased until 30 April 2020. Applying to all Axis models with Quantron A electronics or ISObus control, the module enables the transfer of spreading charts directly from Kuhn’s Spreadset App to the spreader. For Axis spreaders with weigh cells, the module allows operators to monitor remotely how much fertiliser is in the hopper. The optional module usually has a recommended retail price of GBP 209, https://bit.ly/3c88crE.;;;Kuhn Farm Machinery (UK) Ltd;United Kingdom;Implements,Precision Technology,Gifts,Campaigns,Product Upgrades
Nový systém pro automatické spínání sekcí secích stroj? Farmet (section control);New system for automatic section control of Farmet seed drills;Competitors and Suppliers;https://www.farmet.cz/cs/novinky/2020-02-novy-system-pro-automaticke-spinani-sekci-secich-stroju;2020-04-09;Czech manufacturer Farmet has launched a brand new section control system, which is based on compressed air operated shut-off/overflow flaps, allowing the seed flow to close to the seed coulters very quickly without interrupting the air flow. In conjunction with automated GPS navigation control, 2–64 sections can be controlled. It is therefore possible to close each individual coulter of a narrow row seed drill with a working width of up to 9 metres.;;;Farmet;Czech Republic;Product Upgrades,Implements,Precision Technology
Raven : Raven distribué par Stecomat en France;Raven : Raven distributed by Stecomat in France;Intermediaries and customers;https://www.grostracteurspassion.com/actualite/entreprises/raven-distribue-par-stecomat-en-france;2020-04-09;After having bought in 2014 the Dutch company SBG Precision Farming, which later became Raven Europe in 2017, the products and solutions of Raven were distributed by Agrotronix and Agri 3000 in France. From now on the distribution of Raven products will be done solely by Stecomat (https://stecomat.com/) in the country. Raven Europe develops a whole range of GPS guidance solutions, multifunction terminals or equipment control systems specifically for the European market. In its European development strategy, France plays a major role, in particular for its Twin-Disc products, a high precision guidance system for sowing and hoeing. Stecomat is a specialist distributor of tillage and mechanical weeding equipment including the brands Treffler and Schmotzer.;;;Raven Industries,Agrotronix,Agri 3000,Stecomat SARL,Treffler,Schmotzer Hacktechnik GmbH & Co KG;France;Alliances,Precision Technology,Strategy
Helga sät und hackt autonom;Helga sows and chops autonomously;Competitors and Suppliers;https://www.schweizerbauer.ch/landtechnik/neuheiten/helga-saet-und-hackt-autonom-56787.html;2020-04-14;The first autonomous agricultural robot used in Switzerland is being tested on four farms. It can not only sow sugar beet fully automatically, but also chop it. The intelligent system comes from Danish company Farmdroid and has been under testing in the past 3 years. Designed for growing sugar beet, rapeseed and vegetables on sandy and clay soils the GPS-controlled robot has a working width of 3 metres. Four solar panels charge its four batteries with a total capacity of 4.8 kW. The robot drives with a speed of 1 km/h and weighs around 700 kg. The robot navigates in a virtual coordinate system and sows the seeds in a predefined pattern. With fully automatic sowing, the coordinates of each individual seed are saved for weed control. The robot can eliminate weeds between the rows completely autonomously. The test project is supported by the Research Institute for Organic Agriculture (FiBL, https://www.fibl.org/). The tests will continue as the experts recognised potential for improvement in several areas as shortcomings lead to more manual work. The robot calculated e.g. a safety distance of 1.2 meters around obstacles (such as trees) which resulted in quite large seed area losses.;;;Farmdroid,Research Institute for Organic Agriculture (FiBL);Switzerland;Precision Technology,Alliances
Neue Technologien für die Praxis!;New technologies for practice!;Universities and Multipliers;https://www.topagrar.at/technik/news/neue-technologien-fuer-die-praxis-12032648.html;2020-04-14;Under the coordination of Josephinum Research (https://www.josephinum.at/), various Austrian educational institutes including the University of Natural Resources and Life Sciences, Vienna (BOKU) and the Austrian government agencies cooperate in an agricultural cluster that deals with various Agriculture 4.0 topics and related technologies. Within the cluster an Innovation Farm has been established where new technical solutions for “Austrian” agriculture are developed. 3 locations of the Innovation farm also provide education and training, https://bit.ly/2ykCpoM. Ongoing projects of the Innovation farm include the “Variable Maize Sowing with Satellite-Supported Sowing Cards” in which Väderstad and Geo-Konzept also participate, https://bit.ly/34BJME6.;;;Josephinum Research,University of Natural Resources and Life Sciences Vienna (BOKU),Väderstad AB,geo-konzept GmbH;Austria;Precision Technology,Digitalization,Alliances
